Team,Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1
Valladolid,André Ferreira,pt POR,GK,28.0,6,6,540.0,6.0,20,3.33,39,19,56.4,0,0,6,0,0.0,3,3,0,0,0.0
Valladolid,Arnau Rafús,es ESP,GK,21.0,1,1,90.0,1.0,2,2.0,2,0,0.0,0,0,1,0,0.0,0,0,0,0,
Genk,Hendrik Van Crombrugge,be BEL,GK,31.0,19,19,1710.0,19.0,24,1.26,71,47,66.2,13,3,3,8,42.1,1,0,0,1,
Genk,Mike Penders,be BEL,GK,19.0,11,11,989.0,11.0,8,0.73,32,24,78.1,8,2,1,4,36.4,1,1,0,0,0.0
Club Brugge,Simon Mignolet,be BEL,GK,36.0,29,29,2610.0,29.7,35,1.21,103,69,68.9,17,8,5,8,27.6,4,3,1,0,25.0
Club Brugge,Nordin Jackers,be BEL,GK,26.0,0,0,,0.3,1,,3,2,66.7,0,0,0,0,,0,0,0,0,
Union SG,Anthony Moris,lu LUX,GK,34.0,30,30,2700.0,30.0,25,0.83,99,74,75.8,15,10,5,13,43.3,2,1,0,1,0.0
Anderlecht,Colin Coosemans,be BEL,GK,31.0,28,28,2520.0,28.0,25,0.89,128,101,80.5,14,6,8,14,50.0,2,0,2,0,100.0
Anderlecht,Mads Kikkenborg,dk DEN,GK,24.0,2,2,180.0,2.0,2,1.0,10,8,80.0,1,0,1,0,0.0,0,0,0,0,
Antwerp,Senne Lammens,be BEL,GK,22.0,30,30,2700.0,30.0,32,1.07,161,127,81.4,12,10,8,7,23.3,6,2,4,0,66.7
Gent,Davy Roef,be BEL,GK,30.0,26,26,2340.0,26.0,30,1.15,143,114,79.7,9,11,6,11,42.3,1,1,0,0,0.0
Gent,Tom Vandenberghe,be BEL,GK,31.0,3,3,270.0,3.0,3,1.0,11,8,72.7,1,1,1,1,33.3,0,0,0,0,
Gent,Daniel Schmidt,jp JPN,GK,32.0,1,1,90.0,1.0,0,0.0,5,5,100.0,1,0,0,1,100.0,0,0,0,0,
Standard Liege,Matthieu Epolo,be BEL,GK,20.0,19,18,1665.0,18.5,21,1.14,93,72,77.4,5,6,7,8,44.4,1,0,1,0,100.0
