Team,Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Lille,Mohamed Lamine Bayo,gn GUI,FW,26.0,3.5,2,10,4,40.0,2.88,1.15,0.2,0.5,12.2,0,0,0,2.2,2.2,0.22,-0.2,-0.2
Lille,Nabil Bentaleb,dz ALG,MF,29.0,3.7,1,5,1,20.0,1.36,0.27,0.2,1.0,24.8,2,0,0,0.7,0.7,0.15,0.3,0.3
Lille,Ethan Mbappé,fr FRA,MF,17.0,2.5,0,11,4,36.4,4.44,1.61,0.0,0.0,18.1,0,0,0,1.1,1.1,0.1,-1.1,-1.1
Lille,Younes Lachaab,fr FRA,MF,19.0,0.1,0,1,0,0.0,10.0,0.0,0.0,,23.8,0,0,0,0.1,0.1,0.09,-0.1,-0.1
Lille,Ousmane Toure,fr FRA,DF,19.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Lille,Aaron Malouda,fr FRA,FW,18.0,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Lyon,Lucas Perri,br BRA,GK,26.0,33.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Lyon,Moussa Niakhate,sn SEN,DF,28.0,30.3,0,2,1,50.0,0.07,0.03,0.0,0.0,7.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Lyon,Clinton Mata,ao ANG,DF,31.0,26.4,0,5,0,0.0,0.19,0.0,0.0,,21.1,0,0,0,0.2,0.2,0.05,-0.2,-0.2
Lyon,Corentin Tolisso,fr FRA,MF,29.0,26.0,7,51,18,35.3,1.96,0.69,0.14,0.39,16.4,0,0,0,5.3,5.3,0.1,1.7,1.7
Lyon,Nemanja Matić,rs SRB,MF,35.0,22.5,0,2,1,50.0,0.09,0.04,0.0,0.0,14.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Lyon,Alexandre Lacazette,fr FRA,FW,33.0,23.0,15,53,31,58.5,2.31,1.35,0.19,0.32,13.5,1,5,6,16.3,11.7,0.22,-1.3,-1.7
Lyon,Rayan Cherki,fr FRA,FW,20.0,22.8,8,45,19,42.2,1.97,0.83,0.18,0.42,16.8,3,0,0,5.0,5.0,0.11,3.0,3.0
